filepath,label
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][cla]1346__3__a5958b87b4__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][cla]1291__1__a3d131aeda__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][jaz_blu]1490__3__bded87b95d__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/027__[pia][nod][cla]1398__2__a872aeaaf1__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][jaz_blu]1524__1__5873013fcb__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/244__[pia][nod][cla]1384__1__a5c80df1b3__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][cla]1370__2__20917aef44__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][jaz_blu]1459__1__3b72b7c06a__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/057__[pia][nod][cla]1413__2__e5fcb757c4__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/170__[pia][nod][cla]1403__2__752e55f7fb__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][pop_roc]1546__1__957e1a31a1__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][cla]1325__3__d007589a44__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][pop_roc]1295__2__6f731e7220__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][pop_roc]1446__1__dc5db49fa3__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][pop_roc]1317__1__888f8b5c65__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][pop_roc]1537__1__e90697483c__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][jaz_blu]1528__1__dbf15c8301__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/222__[pia][nod][pop_roc]1438__3__7530ab900f__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][cla]1283__1__0302d3d16d__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][jaz_blu]1482__3__037456b3b6__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/204__[pia][nod][cla]1401__1__61ea45be95__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][jaz_blu]1298__2__26b6fd9a0f__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][cla]1362__2__0282dcfa1f__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][pop_roc]1287__2__d9ebcdb80b__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][cla]1337__3__a92eaca2a6__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][pop_roc]1287__3__0217bea9aa__sr44100_dur3.0_m128_w30_h10.npy,pia
/Users/hughsignoriello/Developer/ML-based-analysis-of-sound/.cache/mels_irmas/pia/[pia][cla]1337__2__a9b348c758__sr44100_dur3.0_m128_w30_h10.npy,pia
